year,link text,link url,topic,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,Description,method
2025,Marquette Law School,https://law.marquette.edu/assets/community/poll/MLSPSC29Crosstabs.html,Public opinion of the Supreme Court as an institution,Supreme Court approval,"Overall, how much do you approve or disapprove of the way the US Supreme Court is handling its job?",Approve,44,Disapprove,56,"A November Marquette Law School Poll found that 44% of respondents approve of the way the Supreme Court is handling its job, while 56% disapprove. By party: 17% of Democrats; 33% of Independents; 74% of Republicans approve.","Methodology: Conducted Nov. 5-12, 2025, among 1052 adults nationwide, with a margin of error of +/-3.3 percentage points. There are 903 registered voters, with a margin of error of +/-3.5 percentage points and 602 likely voters (those who say they are certain to vote in November) with a margin of error of +/-4 percentage points. Fieldwork was conducted by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS)."
2025,Pew Research Center,https://www.pewresearch.org/short-reads/2025/09/03/favorable-views-of-supreme-court-remain-near-historic-low/ ,Public opinion of the Supreme Court as an institution,Supreme Court favorability,Do you have a favorable or unfavorable opinion of the Supreme Court?,Favorable,48,Unfavorable,50,"A September Pew Research Center Poll found that 48% of respondents have a favorable opinion of the Supreme Court, while 50% have an unfavorable opinion. By party: 26% of Democrats and 71% of Republicans have a favorable opinion.","Methodology: Data in this report comes from Wave 176 of the American Trends Panel (ATP), Pew Research Center’s nationally representative panel of randomly selected U.S. adults. The survey was conducted from Aug. 4 to 10, 2025. A total of 3,554 panelists responded out of 3,784 who were sampled, for a survey-level response rate of 94%. SSRS conducted the survey for Pew Research Center via online (n=3,429) and live telephone (n=125) interviewing."
2025,Gallup,https://news.gallup.com/poll/695759/new-high-say-supreme-court-too-conservative.aspx,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the Supreme Court is handling its job?,Approve,42,Disapprove,52,"A September Gallup Poll found that 42% of respondents approve of the way the Supreme Court is handling its job, while 52% disapprove.","Methodology: based on telephone interviews conducted by ReconMR Sept. 2-16, 2025, with a random sample of 1,000 adults, aged 18 and older, living in all 50 U.S. states and the District of Columbia. Each sample of national adults includes a minimum quota of 80% cellphone respondents and 20% landline respondents. Landline and cellular telephone numbers are selected using random-digit-dial methods."
2025,Gallup,https://news.gallup.com/poll/693230/record-party-gaps-job-approval-supreme-court-congress.aspx,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the Supreme Court is handling its job?,Approve,39,Disapprove,56,A July Gallup Poll found that 39% of respondents approve of the way the Supreme Court is handling its job. By party: 11% of Democrats and 75% of Republicans approve.,"Methodology: Results for this Gallup poll are based on telephone interviews conducted by ReconMR July 7-21, 2025, with a random sample of 1,002 adults, aged 18 and older, living in all 50 U.S. states and the District of Columbia. Each sample of national adults includes a minimum quota of 80% cellphone respondents and 20% landline respondents, with additional minimum quotas by time zone within region."
2025,Fox News,https://static.foxnews.com/foxnews.com/content/uploads/2025/07/fox_july-18-21-2025_national_cross-tabs_july-23-release.pdf,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the job the Supreme Court of the United States is doing?,Approve,47,Disapprove,50,"A July Fox News Poll found that 47% of respondents approve of the job the Supreme Court is doing, while 50% of respondents disapprove. By party: 21% of Democrats; 42% of Independents; and 76% of Republicans approve.","Methodology: Conducted July 18-21, 2025, under the direction of Beacon Research (D) and Shaw & Company Research (R), this Fox News survey includes interviews with a sample of 1,000 registered voters randomly selected from a national voter file. Respondents spoke with live interviewers on landlines (114) and cellphones (636) or completed the survey online after receiving a text (250). Results based on the full sample have a margin of sampling error of ±3 percentage points."
2025,Quinnipiac University,https://poll.qu.edu/images/polling/us/us07162025_ugxj29.pdf,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the United States Supreme Court is handling its job?,Approve,40,Disapprove,53,"A July Quinnipiac University Poll found that 40% of respondents approve of the way the Supreme Court is handling its job, while 53% disapprove. By party: 10% of Democrats; 37% of Independents; and 76% of Republicans approve","Methodology: This RDD telephone survey was conducted from July 10-14, 2025 throughout the contiguous United States. Responses are reported for 1,290 self-identified registered voters with a margin of sampling error of +/- 2.7 percentage points. Surveys are conducted with live interviewers calling landlines and cell phones."
2025,Associated Press-NORC,https://apnorc.org/wp-content/uploads/2025/07/July-W1-Topline_SCOTUS-.pdf,Public opinion of the Supreme Court as an institution,Supreme Court confidence ,"As far as the people running the Supreme Court are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?",A great deal or some,67,Hardly any,31,"A July Associated Press-NORC Center for Public Affairs Research Poll found that 16% of respondents have “a great deal” of confidence in the people running the Supreme Court, 51% have ""only some confidence"" and 31% have “hardly any” confidence at all.","Methodology: Interviews for this survey were conducted between July 10 through 14, 2025, with adults age 18 and over representing the 50 states and the District of Columbia. Panel members were randomly drawn from AmeriSpeak, and 1,437 completed the survey — 1,357 via the web and 80 by telephone. The overall margin of sampling error is +/- 3.6 percentage points."
2024,Marquette Law School,https://www.dropbox.com/scl/fi/z8bdh55tht5hyqdpkqmrf/MLSPSC23Crosstabs.html?rlkey=96r9qb772clcd7wacdc0ng38o&dl=1,Public opinion of the Supreme Court as an institution,Supreme Court approval,"Overall, how much do you approve or disapprove of the way the US Supreme Court is handling its job?",Approve,48,Disapprove,52,"A December Marquette Law School Poll found that 48% of respondents approve of the job the Supreme Court is doing, while 52% disapprove.","Methodology: Conducted Dec. 2-11, 2024. A total of 1063 adults were interviewed by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is +/-3.6 percentage points for the full sample."
2024,Gallup,https://news.gallup.com/poll/647834/approval-supreme-court-stalled-near-historical-low.aspx,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the Supreme Court is handling its job?,Approve,43,Disapprove,52,"A July Gallup Poll found that 43% of respondents approve of the way the Supreme Court is handling its job, while 52% disapprove. By party: 15% of Democrats; 44% of Independents; and 66% of Republicans approve of the job the Supreme Court is doing.","Methodology: Results are based on telephone interviews conducted July 1-21, 2024, with a random sample of –1,010—adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 80% cell phone respondents and 20% landline respondents, with additional minimum quotas by time zone within region."
2024,Fox News,https://static.foxnews.com/foxnews.com/content/uploads/2024/07/Fox_July-7-10-2024_National_Cross-Tabs_July-16-Release.pdf,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the job the Supreme Court of the United States is doing?,Approve,38,Disapprove,60,"A July Fox News Poll found that 38% of respondents approve of the job the Supreme Court is doing, while 60% disapprove. By party: 17% of Democrats; 26% of Independents; and 62% of Republicans approve.","Methodology: Conducted July 7-10, 2024 under the joint direction of Beacon Research (D) and Shaw & Company Research (R), this Fox News survey includes interviews with a sample of 1,210 registered voters randomly selected from a national voter file. Respondents spoke with live interviewers on landlines (132) and cellphones (787) or completed the survey online after receiving a text (291). Results based on the full sample have a margin of sampling error of ±3 percentage points."
2024,Quinnipiac University,https://poll.qu.edu/images/polling/us/us06262024_ummk42.pdf,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the United States Supreme Court is handling its job?,Approve,37,Disapprove,54,"A June Quinnipiac University Poll found that 37% of respondents approve of the way the Supreme Court is handling its job, while 54% disapprove. By party: 9% of Democrats; 42% of Independents; and 62% of Republicans approve.","Methodology: 1,405 self-identified registered voters nationwide were surveyed from June 20th – 24th with a margin of error of +/- 2.6 percentage points. Surveys adhere to industry best practices and are based on random samples of adults using random digit dialing with live interviewers calling landlines and cell phones."
